zone,indicator,period_start,period_end,status_code,result,value,error_message
Arica,NDVI,2026-03-01,2026-03-03,200,ok,-0.0440999249663749,
Arica,NDVI,2026-03-08,2026-03-10,200,ok,-0.0122043116206508,
Arica,NDVI,2026-03-15,2026-03-17,200,ok,-0.0104506340368461,
Arica,NDVI,2026-03-22,2026-03-24,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Arica,NDVI,2026-03-29,2026-03-31,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Arica,NDMI,2026-03-01,2026-03-03,502,timeout,,openEO connectivity error while loading indicator value: The read operation timed out
Arica,NDMI,2026-03-08,2026-03-10,200,ok,-0.0563540936416721,
Arica,NDMI,2026-03-15,2026-03-17,200,ok,-0.0222825287767542,
Arica,NDMI,2026-03-22,2026-03-24,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Arica,NDMI,2026-03-29,2026-03-31,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Antofagasta,NDVI,2026-03-01,2026-03-03,502,timeout,,openEO connectivity error while loading indicator value: The read operation timed out
Antofagasta,NDVI,2026-03-08,2026-03-10,401,client_error,,openEO indicator request failed with status 401: Authentication failed due to internal error.
Antofagasta,NDVI,2026-03-15,2026-03-17,502,timeout,,openEO connectivity error while loading indicator value: The read operation timed out
Antofagasta,NDVI,2026-03-22,2026-03-24,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Antofagasta,NDVI,2026-03-29,2026-03-31,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Antofagasta,NDMI,2026-03-01,2026-03-03,200,ok,-0.0269823423003444,
Antofagasta,NDMI,2026-03-08,2026-03-10,200,ok,-0.0322179710302979,
Antofagasta,NDMI,2026-03-15,2026-03-17,502,timeout,,openEO connectivity error while loading indicator value: The read operation timed out
Antofagasta,NDMI,2026-03-22,2026-03-24,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Antofagasta,NDMI,2026-03-29,2026-03-31,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
LaSerena,NDVI,2026-03-01,2026-03-03,502,timeout,,openEO connectivity error while loading indicator value: The read operation timed out
LaSerena,NDVI,2026-03-08,2026-03-10,200,ok,0.1242470675507882,
LaSerena,NDVI,2026-03-15,2026-03-17,502,timeout,,openEO connectivity error while loading indicator value: The read operation timed out
LaSerena,NDVI,2026-03-22,2026-03-24,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
LaSerena,NDVI,2026-03-29,2026-03-31,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
LaSerena,NDMI,2026-03-01,2026-03-03,502,timeout,,openEO connectivity error while loading indicator value: The read operation timed out
LaSerena,NDMI,2026-03-08,2026-03-10,502,timeout,,openEO connectivity error while loading indicator value: The read operation timed out
LaSerena,NDMI,2026-03-15,2026-03-17,200,ok,-0.0843346299619573,
LaSerena,NDMI,2026-03-22,2026-03-24,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
LaSerena,NDMI,2026-03-29,2026-03-31,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Valparaiso,NDVI,2026-03-01,2026-03-03,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Valparaiso,NDVI,2026-03-08,2026-03-10,200,ok,0.2278578927308665,
Valparaiso,NDVI,2026-03-15,2026-03-17,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Valparaiso,NDVI,2026-03-22,2026-03-24,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Valparaiso,NDVI,2026-03-29,2026-03-31,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Valparaiso,NDMI,2026-03-01,2026-03-03,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Valparaiso,NDMI,2026-03-08,2026-03-10,200,ok,-0.0435245302326118,
Valparaiso,NDMI,2026-03-15,2026-03-17,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Valparaiso,NDMI,2026-03-22,2026-03-24,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Valparaiso,NDMI,2026-03-29,2026-03-31,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Santiago,NDVI,2026-03-01,2026-03-03,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Santiago,NDVI,2026-03-08,2026-03-10,502,timeout,,openEO connectivity error while loading indicator value: The read operation timed out
Santiago,NDVI,2026-03-15,2026-03-17,200,ok,0.0768912795483847,
Santiago,NDVI,2026-03-22,2026-03-24,200,ok,0.0121726319283464,
Santiago,NDVI,2026-03-29,2026-03-31,200,ok,0.3361379709753202,
Santiago,NDMI,2026-03-01,2026-03-03,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Santiago,NDMI,2026-03-08,2026-03-10,200,ok,-0.028255000202858,
Santiago,NDMI,2026-03-15,2026-03-17,200,ok,0.1382753684119914,
Santiago,NDMI,2026-03-22,2026-03-24,200,ok,0.629593476787949,
Santiago,NDMI,2026-03-29,2026-03-31,200,ok,0.0152929429099153,
Concepcion,NDVI,2026-03-01,2026-03-03,200,ok,-0.0049338524031079,
Concepcion,NDVI,2026-03-08,2026-03-10,502,timeout,,openEO connectivity error while loading indicator value: The read operation timed out
Concepcion,NDVI,2026-03-15,2026-03-17,200,ok,0.0223763269828872,
Concepcion,NDVI,2026-03-22,2026-03-24,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Concepcion,NDVI,2026-03-29,2026-03-31,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Concepcion,NDMI,2026-03-01,2026-03-03,200,ok,0.2660363193873784,
Concepcion,NDMI,2026-03-08,2026-03-10,200,ok,0.1140805135430454,
Concepcion,NDMI,2026-03-15,2026-03-17,200,ok,0.1036479207819209,
Concepcion,NDMI,2026-03-22,2026-03-24,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Concepcion,NDMI,2026-03-29,2026-03-31,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Temuco,NDVI,2026-03-01,2026-03-03,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Temuco,NDVI,2026-03-08,2026-03-10,200,ok,0.5541208346327847,
Temuco,NDVI,2026-03-15,2026-03-17,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Temuco,NDVI,2026-03-22,2026-03-24,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Temuco,NDVI,2026-03-29,2026-03-31,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Temuco,NDMI,2026-03-01,2026-03-03,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
Temuco,NDMI,2026-03-08,2026-03-10,200,ok,0.0672907870859637,
Temuco,NDMI,2026-03-15,2026-03-17,400,no_data,,openEO indicator request failed with status 400: There is no data available for the given extents.
