zone,indicator,total,ok,no_data,rate_limited,timeout,other_error,availability_ratio
Arica,NDVI,2,2,0,0,0,0,1.0
Arica,NDMI,2,1,0,0,1,0,0.5
Antofagasta,NDVI,2,0,0,0,2,0,0.0
Antofagasta,NDMI,2,2,0,0,0,0,1.0
LaSerena,NDVI,2,1,0,0,1,0,0.5
LaSerena,NDMI,2,0,0,0,2,0,0.0
Valparaiso,NDVI,2,0,1,0,1,0,0.0
Valparaiso,NDMI,2,1,1,0,0,0,0.5
Santiago,NDVI,2,0,1,0,1,0,0.0
Santiago,NDMI,2,0,1,0,1,0,0.0
Concepcion,NDVI,2,1,0,0,1,0,0.5
Concepcion,NDMI,2,2,0,0,0,0,1.0
Temuco,NDVI,2,1,1,0,0,0,0.5
Temuco,NDMI,2,1,1,0,0,0,0.5
Valdivia,NDVI,2,0,1,0,1,0,0.0
Valdivia,NDMI,2,1,1,0,0,0,0.5
PuertoMontt,NDVI,2,0,1,0,1,0,0.0
PuertoMontt,NDMI,2,1,1,0,0,0,0.5
PuntaArenas,NDVI,2,2,0,0,0,0,1.0
PuntaArenas,NDMI,2,1,0,0,1,0,0.5
